Date;Close;High;Low;Open;Volume
2015-01-02;0.48303839564323425;0.48663781271536577;0.47535967736321605;0.48303839564323425;113680000
2015-01-05;0.4748797118663788;0.4844781086500895;0.4727200904684149;0.4830383419811845;197952000
2015-01-06;0.460482120513916;0.4760794674798034;0.4600022078668131;0.4755995548327005;197764000
2015-01-07;0.4592823088169098;0.46792085058958915;0.4578425423196665;0.46384152171586324;321808000
2015-01-08;0.4765594005584717;0.4794389337753259;0.4643214702030182;0.46456144083955353;283780000
2015-01-09;0.4784790575504303;0.48207847390386294;0.47176019469967445;0.47823911553046217;209540000
2015-01-12;0.47248005867004395;0.4799188044876213;0.4681607878277535;0.47967883387206467;190732000
2015-01-13;0.4717601537704468;0.48567779090981184;0.4684007369392225;0.47607942441444123;236720000
2015-01-14;0.47367990016937256;0.47511966679063367;0.4655212989299397;0.46672109491252645;155260000
2015-01-15;0.4703204035758972;0.479918769818544;0.4700804329776759;0.4770392656668275;188932000
2015-01-16;0.47895902395248413;0.47943893662301285;0.4681608315359282;0.469600598152907;181512000
2015-01-20;0.48039889335632324;0.4849580790045328;0.4743998835722829;0.48231854444916966;140308000
2015-01-21;0.48711761832237244;0.48831744288992246;0.4743997754024205;0.47775922125969783;144780000
2015-01-22;0.4955161511898041;0.49695591759050134;0.4830382519981295;0.48807737718979355;159712000
2015-01-23;0.4969559907913208;0.49791581612957425;0.4919168076466167;0.49599610824228246;120416000
2015-01-26;0.49479642510414124;0.4971960174636634;0.491676949315683;0.49479642510414124;133240000
2015-01-27;0.47104036808013916;0.4875975698701815;0.4700805141269437;0.4871176285908874;357948000
2015-01-28;0.4633617401123047;0.47871914887249184;0.46312176942644306;0.47679946920179367;272728000
2015-01-29;0.47463980317115784;0.47727933744240036;0.4614420173933627;0.4636016675484473;235340000
2015-01-30;0.46072208881378174;0.47679937794919164;0.4600022341047633;0.4712803106792295;298200000
2015-02-02;0.4708003103733063;0.4727199893192897;0.4544830822405282;0.4636015357799089;259604000
2015-02-03;0.48255833983421326;0.48303828106692026;0.47176017699532496;0.47415976873730015;183468000
2015-02-04;0.48375797271728516;0.48927703725906957;0.47967864548724104;0.4811184400097386;181516000
2015-02-05;0.49167683720588684;0.49191677922389027;0.4837581785039589;0.4842380625399657;140448000
2015-02-06;0.4895171523094177;0.4969559264419223;0.48735750266990563;0.49119686073655683;210524000
2015-02-09;0.48903727531433105;0.49047698455052186;0.48351820874146834;0.486637683639642;273944000
2015-02-10;0.5027150511741638;0.5029549932304409;0.48735761535661654;0.48951726549548236;226204000
2015-02-11;0.49935561418533325;0.503914799131812;0.49599613947373244;0.503914799131812;320832000
2015-02-12;0.5351095199584961;0.5399087038603924;0.5247912688483407;0.5279107441056518;676904000
2015-02-13;0.535349428653717;0.5360693119152523;0.5257510614476226;0.5339096621306466;310084000
2015-02-17;0.5370292663574219;0.5396688580215068;0.5310303140161641;0.5343897319041321;203340000
2015-02-18;0.5307901501655579;0.53726909906894;0.5298303249538344;0.5363092166464393;170948000
2015-02-19;0.5322299003601074;0.5384688498622415;0.5298303087985771;0.5375090246797845;169432000
2015-02-20;0.5360693335533142;0.5363092755799173;0.527910732540974;0.531750091020541;157752000
2015-02-23;0.5317501425743103;0.5358294434759732;0.5291105511826308;0.5358294434759732;125008000
2015-02-24;0.5374107956886292;0.5374107956886292;0.5289799143363297;0.5337975772322356;149356000
2015-02-25;0.5333155989646912;0.5376515284930086;0.5309067683704208;0.5352426404676868;123820000
2015-02-26;0.5347610712051392;0.5378925576717739;0.5304251403600746;0.5337975501610367;152864000
2015-02-27;0.5313888192176819;0.5345203062758727;0.5294617193343676;0.5333158616699163;157492000
2015-03-02;0.5443963408470154;0.547286961114843;0.5292206993030466;0.5299433543700035;301512000
2015-03-03;0.5342791676521301;0.5429509700557542;0.5325929918279612;0.5403012733936395;160344000
2015-03-04;0.5403011441230774;0.541505530524588;0.5301840341675909;0.5323519986075614;226840000
2015-03-05;0.5506591796875;0.5516227003995786;0.5388558930291518;0.5403012028127943;323056000
2015-03-06;0.5431919097900391;0.5501774791500075;0.542710120640946;0.5475277824076422;257392000
